brand,product,hex,H,S,V,Lightness,country
bareMinerals,barePRO,#bd9359,35,53,74,64,US
Lakmé,Invisible Finish,#bc8b63,27,47,74,62,India
L'Oréal,True Match,#bc6d4e,17,59,74,55,India
Maybelline,Fit Me,#c07746,24,64,75,57,US
Maybelline,Fit Me,#c09578,24,38,75,65,US
Estée Lauder,Double Wear,#be8058,24,54,75,59,US
Estée Lauder,Double Wear,#c0976b,31,44,75,66,US
L'Oréal,Infalliable,#c0844e,28,59,75,61,US
Hegai and Ester,Photo Perfect,#bf6b44,19,64,75,55,Nigeria
Maybelline,Fit Me,#c1a07e,30,35,76,68,US
Estée Lauder,Double Wear,#c27440,24,67,76,57,US
L'Oréal,Infalliable,#c27f48,27,63,76,60,US
RMK,RMK Liquid,#c17663,12,49,76,58,Japan
Addiction,The Foundation,#c38355,25,56,76,61,Japan
Addiction,The Foundation,#c37f4e,25,60,76,60,Japan
Kate,Secret Skin Maker Zero,#c28660,23,51,76,61,Japan
Lakmé,Invisible Finish,#c39d76,30,39,76,68,India
L'Oréal,True Match,#c29979,26,38,76,67,India
Estée Lauder,Double Wear,#c48f56,31,56,77,64,US
Trim & Prissy,Flawless Finish,#c48b58,28,55,77,63,Nigeria
Maybelline,Fit Me,#c7967d,20,37,78,66,US
bareMinerals,barePRO,#c69c6c,32,45,78,68,US
Revlon,ColorStay,#c68f71,21,43,78,64,US
Hegai and Ester,Photo Perfect,#c86835,21,74,78,55,Nigeria
Kuddy,Matte Wear,#c78660,22,52,78,62,Nigeria
Kuddy,Matte Wear,#c78660,22,52,78,62,Nigeria
Shu Uemera,Petal Skin Fluid,#c89a5e,34,53,78,67,Japan
Lakmé,Invisible Finish,#c88f72,20,43,78,65,India
bareMinerals,barePRO,#ca9f75,30,42,79,69,US
Revlon,ColorStay,#c98667,19,49,79,62,US
Shu Uemera,Petal Skin Fluid,#c99e76,29,41,79,68,Japan
NARS,Velvet Matte,#ca8a55,27,58,79,63,Japan
Revlon,ColorStay,#cb8f6e,21,46,80,65,US
Kuddy,Matte Wear,#cc8b65,22,50,80,64,Nigeria
Shiseido,Synchro Skin,#cb9068,24,49,80,65,Japan
Colorbar,Perfect Match,#cd9d77,27,42,80,69,India
Bharat & Doris,Liquid Foundation,#cba167,35,49,80,69,India
Nykaa,SKINgenius,#cb9070,21,45,80,65,India
bareMinerals,barePRO,#cfa786,27,35,81,72,US
Estée Lauder,Double Wear,#cf905d,27,55,81,65,US
L'Oréal,Infalliable,#cf9c7d,23,40,81,69,US
Elsas Pro,Full Coverage,#cf8a60,23,54,81,64,Nigeria
NARS,Velvet Matte,#ce8440,29,69,81,62,Japan
Bharat & Doris,Liquid Foundation,#ce9c6a,30,49,81,68,India
Maybelline,Fit Me,#d09e7c,24,40,82,69,US
bareMinerals,barePRO,#d1a67e,29,40,82,71,US
Estée Lauder,Double Wear,#d0a26e,32,47,82,70,US
L'Oréal,Infalliable,#d1a396,13,28,82,71,US
Kate,Secret Skin Maker Zero,#d19c72,27,45,82,69,Japan
Olivia,Foundation,#d0803b,28,72,82,61,India
Lotus Herbals,Make-Up Ecostay,#d0985f,30,54,82,67,India
Nykaa,SKINgenius,#d19676,21,44,82,67,India
bareMinerals,barePRO,#d4ad8a,28,35,83,74,US
bareMinerals,barePRO,#d4a97f,30,40,83,72,US
Estée Lauder,Double Wear,#d4a066,32,52,83,70,US
L'Oréal,Infalliable,#d49e6c,29,49,83,70,US
Elsas Pro,Full Coverage,#d49a74,24,45,83,69,Nigeria
Nykaa,SKINgenius,#d4ac93,23,31,83,74,India
bareMinerals,barePRO,#d5a275,28,45,84,71,US
Estée Lauder,Double Wear,#d59a71,25,47,84,69,US
Estée Lauder,Double Wear,#d69060,24,55,84,66,US
Estée Lauder,Double Wear,#d7986d,24,49,84,68,US
Revlon,ColorStay,#d5a187,20,37,84,71,US
Revlon,ColorStay,#d79f86,19,38,84,70,US
Revlon,ColorStay,#d5a187,20,37,84,71,US
Hegai and Ester,Photo Perfect,#d76b4c,13,65,84,58,Nigeria
Addiction,The Foundation,#d69668,25,51,84,68,Japan
Shiseido,Synchro Skin,#d69e7b,23,43,84,70,Japan
Dior,Diorskin Forever,#d7a98a,24,36,84,73,Japan
Bharat & Doris,Liquid Foundation,#d7ac7a,32,43,84,73,India
Bharat & Doris,Liquid Foundation,#d7b182,33,40,84,75,India
Bharat & Doris,Liquid Foundation,#d7c499,42,29,84,80,India
Maybelline,Fit Me Matte,#d69c74,24,46,84,69,India
Maybelline,Fit Me,#d99358,27,59,85,67,US
bareMinerals,barePRO,#d8b08c,28,35,85,75,US
Estée Lauder,Double Wear,#d8bba3,27,25,85,78,US
Estée Lauder,Double Wear,#d8a46d,31,50,85,71,US
Estée Lauder,Double Wear,#da926b,21,51,85,67,US
L'Oréal,Infalliable,#daa271,28,48,85,71,US
L'Oréal,Infalliable,#da9e6b,28,51,85,70,US
L'Oréal,Infalliable,#d99959,30,59,85,69,US
Trim & Prissy,Flawless Finish,#d89757,30,60,85,68,Nigeria
Elsas Pro,Full Coverage,#d9ab88,26,37,85,74,Nigeria
Addiction,The Foundation,#daa272,28,48,85,71,Japan
NARS,Velvet Matte,#da9b5a,30,59,85,69,Japan
bareMinerals,barePRO,#dcb79a,26,30,86,77,US
bareMinerals,barePRO,#dbae85,29,39,86,75,US
Revlon,ColorStay,#dba787,23,38,86,73,US
Addiction,The Foundation,#db9e70,26,49,86,70,Japan
Shu Uemera,Petal Skin Fluid,#dbab6d,34,50,86,73,Japan
Kate,Secret Skin Maker Zero,#dca67e,26,43,86,73,Japan
Maybelline,Fit Me Matte,#dcb297,23,31,86,76,India
L'Oréal,True Match,#dcb29a,22,30,86,76,India
bareMinerals,barePRO,#deb58b,30,37,87,77,US
Estée Lauder,Double Wear,#dea365,31,55,87,72,US
Estée Lauder,Double Wear,#ddb491,28,34,87,76,US
Revlon,ColorStay,#dfa48c,17,37,87,73,US
Revlon,ColorStay,#de9a77,20,46,87,70,US
L'Oréal,Infalliable,#deb09e,17,29,87,76,US
Addiction,The Foundation,#dfaa76,30,47,87,74,Japan
Addiction,The Foundation,#dda376,26,47,87,72,Japan
NARS,Velvet Matte,#dd9e6d,26,51,87,71,Japan
NARS,Velvet Matte,#dfa575,27,48,87,73,Japan
Lakmé,Invisible Finish,#deaf91,23,35,87,75,India
Nykaa,SKINgenius,#dfab86,25,40,87,74,India
L'Oréal,True Match,#ddb496,25,32,87,76,India
Maybelline,Fit Me,#e1bba7,21,26,88,79,US
bareMinerals,barePRO,#e0ab81,27,42,88,74,US
Revlon,ColorStay,#e1a681,23,43,88,73,US
Kuddy,Matte Wear,#e0a260,31,57,88,72,Nigeria
Shu Uemera,Petal Skin Fluid,#e0aa7c,28,45,88,74,Japan
Maybelline,Fit Me,#e2b597,24,33,89,77,US
Maybelline,Fit Me,#e4b38e,26,38,89,77,US
Maybelline,Fit Me,#e3b082,28,43,89,76,US
Maybelline,Fit Me,#e2aa7b,27,46,89,74,US
Revlon,ColorStay,#e2ae8e,23,37,89,75,US
Revlon,ColorStay,#e4a87f,24,44,89,74,US
Trim & Prissy,Flawless Finish,#e2ac7c,28,45,89,75,Nigeria
Trim & Prissy,Hi - Def,#e2ac7c,28,45,89,75,Nigeria
Dior,Diorskin Forever,#e2bda2,25,28,89,79,Japan
