brand,product,hex,H,S,V,L,country
Maybelline,Fit Me,e2aa7b,27,0.46,0.89,74,US
NARS,Velvet Matte,e4aa7c,27,0.46,0.89,74,Japan
NARS,Velvet Matte,e4a36a,28,0.54,0.89,72,Japan
Dior,Diorskin Forever,e6c6ad,26,0.25,0.9,82,Japan
Covergirl + Olay,Simply Ageless,e5b39a,20,0.33,0.9,77,US
Maybelline,Fit Me Matte,e6b898,25,0.34,0.9,78,India
Est??e Lauder,Double Wear,e5b593,25,0.36,0.9,77,US
bareMinerals,barePRO,e6bc94,29,0.36,0.9,79,US
L'Or??al,Infalliable,e5ad8b,23,0.39,0.9,75,US
Est??e Lauder,Double Wear,e5ad8a,23,0.4,0.9,75,US
Colorbar,Perfect Match,e5ae87,25,0.41,0.9,76,India
NARS,Velvet Matte,e6b685,30,0.42,0.9,78,Japan
Shu Uemera,Petal Skin Fluid,e5bf81,37,0.44,0.9,80,Japan
L'Or??al,True Match,e8c7b8,19,0.21,0.91,83,India
L'Or??al,True Match,e7cbb5,26,0.22,0.91,84,India
L'Or??al,True Match,e9c4b1,20,0.24,0.91,82,India
Dior,Diorskin Forever,e7cbac,32,0.26,0.91,83,Japan
Maybelline,Fit Me Matte,e7b9a2,20,0.3,0.91,79,India
Est??e Lauder,Double Wear,e7b79c,22,0.32,0.91,78,US
bareMinerals,barePRO,e9c89e,34,0.32,0.91,83,US
Revlon,ColorStay,e8b29c,17,0.33,0.91,77,US
Covergirl + Olay,Simply Ageless,e8bb9c,24,0.33,0.91,79,US
Covergirl + Olay,Simply Ageless,e9b898,24,0.35,0.91,79,US
IPSA,Liquid Foundation,e9b494,23,0.36,0.91,78,Japan
Shiseido,Synchro Skin,e8b193,21,0.37,0.91,77,Japan
Kate,Secret Skin Maker Zero,e8b793,25,0.37,0.91,78,Japan
Covergirl + Olay,Simply Ageless,e7b590,26,0.38,0.91,78,US
IPSA,Liquid Foundation,e7aa8d,19,0.39,0.91,75,Japan
Maybelline,Fit Me,e8ba8c,30,0.4,0.91,79,US
Shu Uemera,Petal Skin Fluid,e9a986,21,0.42,0.91,75,Japan
Shiseido,Synchro Skin,e9b085,26,0.43,0.91,76,Japan
Blue Heaven,X Factor,e8b684,30,0.43,0.91,78,India
L'Or??al,Infalliable,e7ad82,26,0.44,0.91,76,US
L'Or??al,Infalliable,e8b481,30,0.44,0.91,77,US
Addiction,The Foundation,e9b079,29,0.48,0.91,76,Japan
NARS,Velvet Matte,e7ab74,29,0.5,0.91,75,Japan
RMK,RMK Liquid,e8a463,29,0.57,0.91,73,Japan
Nykaa,SKINgenius,ebc7af,24,0.26,0.92,83,India
Covergirl + Olay,Simply Ageless,eac4ae,22,0.26,0.92,82,US
Covergirl + Olay,Simply Ageless,eac7ab,27,0.27,0.92,83,US
Maybelline,Fit Me,eabda6,20,0.29,0.92,80,US
bareMinerals,barePRO,eac8a3,31,0.3,0.92,83,US
L'Or??al,True Match,eabea1,24,0.31,0.92,80,India
Covergirl + Olay,Simply Ageless,eabe9e,25,0.32,0.92,80,US
bareMinerals,barePRO,ebc99c,34,0.34,0.92,83,US
Shu Uemera,Petal Skin Fluid,ebc095,30,0.37,0.92,81,Japan
Maybelline,Fit Me Matte,ebbf93,30,0.37,0.92,81,India
Shiseido,Synchro Skin,ebb68c,27,0.4,0.92,78,Japan
Blue Heaven,X Factor,ebb08a,24,0.41,0.92,77,India
Maybelline,Fit Me Matte,ebba8a,30,0.41,0.92,79,India
Maybelline,Fit Me Matte,ebba8a,30,0.41,0.92,79,India
Kate,Secret Skin Maker Zero,ebbd88,32,0.42,0.92,80,Japan
Est??e Lauder,Double Wear,ebad81,25,0.45,0.92,76,US
Maybelline,Fit Me,eab181,27,0.45,0.92,77,US
Addiction,The Foundation,eab17a,29,0.48,0.92,77,Japan
Hegai and Ester,Photo Perfect,ea8944,25,0.71,0.92,67,Nigeria
Olivia,Foundation,eb893e,26,0.74,0.92,67,India
L'Or??al,True Match,eecfba,24,0.22,0.93,85,India
Maybelline,Fit Me,edcfb9,25,0.22,0.93,85,US
bareMinerals,barePRO,edceb2,28,0.25,0.93,85,US
Dior,Diorskin Forever,edc8af,24,0.26,0.93,83,Japan
Colorbar,Perfect Match,ecc3a5,25,0.3,0.93,82,India
IPSA,Liquid Foundation,edc0a3,24,0.31,0.93,81,Japan
L'Or??al,True Match,eebfa3,22,0.32,0.93,81,India
Lotus Herbals,Make-Up Ecostay,eec1a2,24,0.32,0.93,82,India
IPSA,Liquid Foundation,edc69f,30,0.33,0.93,83,Japan
Revlon,ColorStay,eec29e,27,0.34,0.93,82,US
Shiseido,Synchro Skin,edb899,22,0.35,0.93,79,Japan
IPSA,Liquid Foundation,ecbb9a,24,0.35,0.93,80,Japan
Est??e Lauder,Double Wear,edbe98,27,0.36,0.93,81,US
Revlon,ColorStay,eec498,31,0.36,0.93,82,US
Bharat & Doris,Liquid Foundation,eec693,34,0.38,0.93,83,India
NARS,Velvet Matte,ecb98c,28,0.41,0.93,79,Japan
L'Or??al,Infalliable,eeb67e,30,0.47,0.93,78,US
Hegai and Ester,Photo Perfect,eebb7a,34,0.49,0.93,80,Nigeria
L'Or??al,True Match,f0cbb9,20,0.23,0.94,85,India
L'Or??al,True Match,f0c7b3,20,0.25,0.94,83,India
IPSA,Liquid Foundation,efc9a5,29,0.31,0.94,84,Japan
bareMinerals,barePRO,f0cba1,32,0.33,0.94,84,US
NARS,Velvet Matte,efbf99,27,0.36,0.94,81,Japan
Maybelline,Fit Me,f0b996,23,0.37,0.94,80,US
